section_id,road_type,month,road_age,traffic,rainfall,road_condition,damage_level,repair_event,repair_quality,repair_count,months_since_repair,previous_condition
S002,Main Road,35,7,11265,41.06,44.91,55.09,0,0.0,1,4,48.99
S002,Main Road,36,7,11265,22.61,40.91,59.09,0,0.0,1,5,44.91
S003,Residential,1,8,4444,21.68,78.57,21.43,0,0.0,0,3,80.51
S003,Residential,2,8,4444,26.8,76.06,23.94,0,0.0,0,4,78.57
S003,Residential,3,8,4444,14.81,73.87,26.13,0,0.0,0,5,76.06
S003,Residential,4,8,4444,43.24,71.2,28.8,0,0.0,0,6,73.87
S003,Residential,5,8,4444,52.51,68.07,31.93,0,0.0,0,7,71.2
S003,Residential,6,8,4444,119.92,64.73,35.27,0,0.0,0,8,68.07
S003,Residential,7,8,4444,161.58,60.77,39.23,0,0.0,0,9,64.73
S003,Residential,8,8,4444,158.84,56.49,43.51,0,0.0,0,10,60.77
S003,Residential,9,8,4444,115.32,52.97,47.03,0,0.0,0,11,56.49
S003,Residential,10,8,4444,56.93,50.1,49.9,0,0.0,0,12,52.97
S003,Residential,11,8,4444,34.43,47.21,52.79,0,0.0,0,13,50.1
S003,Residential,12,8,4444,27.01,44.45,55.55,0,0.0,0,14,47.21
S003,Residential,13,8,4444,26.12,41.03,58.97,0,0.0,0,15,44.45
S003,Residential,14,8,4444,20.06,37.84,62.16,0,0.0,0,16,41.03
S003,Residential,15,8,4444,25.12,67.83,32.17,1,0.86,0,0,37.84
S003,Residential,16,8,4444,37.61,65.08,34.92,0,0.0,0,1,67.83
S003,Residential,17,8,4444,72.76,61.7,38.3,0,0.0,0,2,65.08
S003,Residential,18,8,4444,106.19,57.85,42.15,0,0.0,0,3,61.7
S003,Residential,19,8,4444,239.12,53.05,46.95,0,0.0,0,4,57.85
S003,Residential,20,8,4444,140.6,49.31,50.69,0,0.0,0,5,53.05
S003,Residential,21,8,4444,74.96,46.06,53.94,0,0.0,0,6,49.31
S003,Residential,22,8,4444,59.87,42.73,57.27,0,0.0,1,7,46.06
S003,Residential,23,8,4444,24.96,39.38,60.62,0,0.0,1,8,42.73
S003,Residential,24,8,4444,26.81,36.58,63.42,0,0.0,1,9,39.38
S003,Residential,25,8,4444,27.86,55.76,44.24,1,0.55,1,0,36.58
S003,Residential,26,8,4444,24.85,53.05,46.95,0,0.0,1,1,55.76
S003,Residential,27,8,4444,28.71,49.77,50.23,0,0.0,1,2,53.05
S003,Residential,28,8,4444,42.75,46.77,53.23,0,0.0,1,3,49.77
S003,Residential,29,8,4444,60.78,43.37,56.63,0,0.0,1,4,46.77
S003,Residential,30,8,4444,117.62,39.2,60.8,0,0.0,1,5,43.37
S003,Residential,31,8,4444,211.84,33.78,66.22,0,0.0,1,6,39.2
S003,Residential,32,8,4444,148.74,29.46,70.54,0,0.0,1,7,33.78
S003,Residential,33,8,4444,81.73,47.47,52.53,1,0.51,1,0,29.46
S003,Residential,34,8,4444,78.2,43.85,56.15,0,0.0,1,1,47.47
S003,Residential,35,8,4444,34.4,65.25,34.75,1,0.61,1,0,43.85
S003,Residential,36,8,4444,31.19,62.21,37.79,0,0.0,1,1,65.25
S004,Highway,1,6,15769,25.03,80.97,19.03,0,0.0,0,2,84.79
S004,Highway,2,6,15769,20.23,77.18,22.82,0,0.0,0,3,80.97
S004,Highway,3,6,15769,22.75,73.21,26.79,0,0.0,0,4,77.18
S004,Highway,4,6,15769,38.27,68.97,31.03,0,0.0,0,5,73.21
S004,Highway,5,6,15769,46.19,64.98,35.02,0,0.0,0,6,68.97
S004,Highway,6,6,15769,117.44,59.96,40.04,0,0.0,0,7,64.98
S004,Highway,7,6,15769,183.25,54.29,45.71,0,0.0,0,8,59.96
S004,Highway,8,6,15769,172.35,48.16,51.84,0,0.0,0,9,54.29
S004,Highway,9,6,15769,127.5,42.63,57.37,0,0.0,0,10,48.16
S004,Highway,10,6,15769,80.03,37.05,62.95,0,0.0,0,11,42.63
S004,Highway,11,6,15769,36.27,31.93,68.07,0,0.0,0,12,37.05
S004,Highway,12,6,15769,35.24,27.25,72.75,0,0.0,0,13,31.93
S004,Highway,13,6,15769,25.85,22.14,77.86,0,0.0,0,14,27.25
S004,Highway,14,6,15769,25.77,49.59,50.41,1,0.78,0,0,22.14
S004,Highway,15,6,15769,19.9,44.89,55.11,0,0.0,1,1,49.59
S004,Highway,16,6,15769,33.59,75.56,24.44,1,0.88,1,0,44.89
S004,Highway,17,6,15769,67.28,71.23,28.77,0,0.0,1,1,75.56
S004,Highway,18,6,15769,135.8,66.04,33.96,0,0.0,1,2,71.23
S004,Highway,19,6,15769,168.29,60.16,39.84,0,0.0,1,3,66.04
S004,Highway,20,6,15769,151.78,54.46,45.54,0,0.0,1,4,60.16
S004,Highway,21,6,15769,81.44,49.3,50.7,0,0.0,1,5,54.46
S004,Highway,22,6,15769,79.08,44.49,55.51,0,0.0,1,6,49.3
S004,Highway,23,6,15769,39.65,39.7,60.3,0,0.0,1,7,44.49
S004,Highway,24,6,15769,24.31,70.95,29.05,1,0.89,1,0,39.7
S004,Highway,25,6,15769,22.57,66.89,33.11,0,0.0,1,1,70.95
S004,Highway,26,6,15769,26.67,62.9,37.1,0,0.0,1,2,66.89
S004,Highway,27,6,15769,24.93,58.27,41.73,0,0.0,1,3,62.9
S004,Highway,28,6,15769,39.18,53.43,46.57,0,0.0,1,4,58.27
S004,Highway,29,6,15769,54.95,48.65,51.35,0,0.0,1,5,53.43
S004,Highway,30,6,15769,127.26,42.8,57.2,0,0.0,1,6,48.65
S004,Highway,31,6,15769,176.68,70.11,29.89,1,0.78,1,0,42.8
S004,Highway,32,6,15769,158.19,64.4,35.6,0,0.0,1,1,70.11
S004,Highway,33,6,15769,91.83,59.24,40.76,0,0.0,1,2,64.4
S004,Highway,34,6,15769,69.75,54.56,45.44,0,0.0,1,3,59.24
S004,Highway,35,6,15769,45.79,49.64,50.36,0,0.0,1,4,54.56
S004,Highway,36,6,15769,23.4,44.87,55.13,0,0.0,1,5,49.64
S005,Industrial,1,2,12311,20.92,95.75,4.25,0,0.0,0,4,98.71
S005,Industrial,2,2,12311,17.2,93.0,7.0,0,0.0,0,5,95.75
S005,Industrial,3,2,12311,17.83,90.67,9.33,0,0.0,0,6,93.0
S005,Industrial,4,2,12311,33.99,88.06,11.94,0,0.0,0,7,90.67
S005,Industrial,5,2,12311,55.47,84.73,15.27,0,0.0,0,8,88.06
S005,Industrial,6,2,12311,78.91,81.62,18.38,0,0.0,0,9,84.73
S005,Industrial,7,2,12311,177.25,77.35,22.65,0,0.0,0,10,81.62
S005,Industrial,8,2,12311,161.01,72.84,27.16,0,0.0,0,11,77.35
S005,Industrial,9,2,12311,98.45,68.75,31.25,0,0.0,0,12,72.84
S005,Industrial,10,2,12311,67.09,64.92,35.08,0,0.0,0,13,68.75
S005,Industrial,11,2,12311,34.41,61.69,38.31,0,0.0,0,14,64.92
S005,Industrial,12,2,12311,23.9,58.11,41.89,0,0.0,0,15,61.69
S005,Industrial,13,2,12311,22.35,54.85,45.15,0,0.0,0,16,58.11
S005,Industrial,14,2,12311,17.12,51.51,48.49,0,0.0,0,17,54.85
S005,Industrial,15,2,12311,17.42,47.76,52.24,0,0.0,0,18,51.51
S005,Industrial,16,2,12311,42.18,43.77,56.23,0,0.0,0,19,47.76
S005,Industrial,17,2,12311,59.76,39.36,60.64,0,0.0,0,20,43.77
S005,Industrial,18,2,12311,125.6,62.01,37.99,1,0.65,0,0,39.36
S005,Industrial,19,2,12311,176.55,57.27,42.73,0,0.0,0,1,62.01
S005,Industrial,20,2,12311,137.07,52.84,47.16,0,0.0,0,2,57.27
S005,Industrial,21,2,12311,97.52,48.14,51.86,0,0.0,1,3,52.84
S005,Industrial,22,2,12311,51.13,44.27,55.73,0,0.0,1,4,48.14
S005,Industrial,23,2,12311,31.61,40.12,59.88,0,0.0,1,5,44.27
S005,Industrial,24,2,12311,19.59,36.08,63.92,0,0.0,1,6,40.12
S005,Industrial,25,2,12311,33.44,32.0,68.0,0,0.0,1,7,36.08
S005,Industrial,26,2,12311,24.41,28.23,71.77,0,0.0,1,8,32.0
S005,Industrial,27,2,12311,24.96,54.77,45.23,1,0.76,1,0,28.23
S005,Industrial,28,2,12311,42.77,51.29,48.71,0,0.0,1,1,54.77
S005,Industrial,29,2,12311,55.64,47.0,53.0,0,0.0,1,2,51.29
S005,Industrial,30,2,12311,104.5,42.12,57.88,0,0.0,1,3,47.0
S005,Industrial,31,2,12311,151.99,36.71,63.29,0,0.0,1,4,42.12
S005,Industrial,32,2,12311,155.43,31.87,68.13,0,0.0,1,5,36.71
S005,Industrial,33,2,12311,125.28,26.9,73.1,0,0.0,1,6,31.87
S005,Industrial,34,2,12311,83.62,21.83,78.17,0,0.0,1,7,26.9
S005,Industrial,35,2,12311,27.66,17.75,82.25,0,0.0,1,8,21.83
S005,Industrial,36,2,12311,27.81,37.62,62.38,1,0.57,1,0,17.75
S006,Main Road,1,10,11396,21.75,87.68,12.32,0,0.0,0,6,91.14
S006,Main Road,2,10,11396,17.56,84.29,15.71,0,0.0,0,7,87.68
S006,Main Road,3,10,11396,22.04,81.17,18.83,0,0.0,0,8,84.29
S006,Main Road,4,10,11396,30.46,77.48,22.52,0,0.0,0,9,81.17
S006,Main Road,5,10,11396,55.4,73.18,26.82,0,0.0,0,10,77.48
S006,Main Road,6,10,11396,105.04,68.97,31.03,0,0.0,0,11,73.18
S006,Main Road,7,10,11396,187.3,63.55,36.45,0,0.0,0,12,68.97
S006,Main Road,8,10,11396,158.79,58.02,41.98,0,0.0,0,13,63.55
S006,Main Road,9,10,11396,116.44,52.92,47.08,0,0.0,0,14,58.02
S006,Main Road,10,10,11396,64.17,48.27,51.73,0,0.0,0,15,52.92
S006,Main Road,11,10,11396,31.2,43.85,56.15,0,0.0,0,16,48.27
S006,Main Road,12,10,11396,22.34,72.68,27.32,1,0.82,0,0,43.85
S006,Main Road,13,10,11396,35.22,68.62,31.38,0,0.0,0,1,72.68
S006,Main Road,14,10,11396,28.1,64.51,35.49,0,0.0,0,2,68.62
S006,Main Road,15,10,11396,22.18,60.34,39.66,0,0.0,0,3,64.51
S006,Main Road,16,10,11396,29.74,56.33,43.67,0,0.0,0,4,60.34
S006,Main Road,17,10,11396,51.22,52.04,47.96,0,0.0,0,5,56.33
S006,Main Road,18,10,11396,114.48,46.78,53.22,0,0.0,0,6,52.04
S006,Main Road,19,10,11396,149.24,41.2,58.8,0,0.0,0,7,46.78
S006,Main Road,20,10,11396,166.43,35.29,64.71,0,0.0,0,8,41.2
S006,Main Road,21,10,11396,107.55,58.04,41.96,1,0.65,0,0,35.29
S006,Main Road,22,10,11396,61.03,54.01,45.99,0,0.0,1,1,58.04
S006,Main Road,23,10,11396,40.28,49.72,50.28,0,0.0,1,2,54.01
S006,Main Road,24,10,11396,22.12,45.95,54.05,0,0.0,1,3,49.72
S006,Main Road,25,10,11396,29.18,41.7,58.3,0,0.0,1,4,45.95
S006,Main Road,26,10,11396,14.35,67.47,32.53,1,0.74,1,0,41.7
S006,Main Road,27,10,11396,27.65,64.01,35.99,0,0.0,1,1,67.47
S006,Main Road,28,10,11396,42.57,60.32,39.68,0,0.0,1,2,64.01
S006,Main Road,29,10,11396,34.61,56.01,43.99,0,0.0,1,3,60.32
S006,Main Road,30,10,11396,105.66,51.28,48.72,0,0.0,1,4,56.01
S006,Main Road,31,10,11396,184.58,45.85,54.15,0,0.0,1,5,51.28
S006,Main Road,32,10,11396,162.15,40.22,59.78,0,0.0,1,6,45.85
S006,Main Road,33,10,11396,118.05,66.44,33.56,1,0.75,1,0,40.22
S006,Main Road,34,10,11396,80.41,62.38,37.62,0,0.0,1,1,66.44
S006,Main Road,35,10,11396,31.88,58.76,41.24,0,0.0,1,2,62.38
S006,Main Road,36,10,11396,27.94,54.72,45.28,0,0.0,1,3,58.76
S007,Residential,1,11,3558,27.72,88.83,11.17,0,0.0,0,7,90.81
S007,Residential,2,11,3558,25.17,86.83,13.17,0,0.0,0,8,88.83
S007,Residential,3,11,3558,13.96,84.24,15.76,0,0.0,0,9,86.83
S007,Residential,4,11,3558,36.89,81.57,18.43,0,0.0,0,10,84.24
S007,Residential,5,11,3558,52.77,79.23,20.77,0,0.0,0,11,81.57
S007,Residential,6,11,3558,137.06,75.71,24.29,0,0.0,0,12,79.23
S007,Residential,7,11,3558,173.25,71.73,28.27,0,0.0,0,13,75.71
S007,Residential,8,11,3558,191.23,67.24,32.76,0,0.0,0,14,71.73
S007,Residential,9,11,3558,79.13,64.18,35.82,0,0.0,0,15,67.24
S007,Residential,10,11,3558,61.57,61.29,38.71,0,0.0,0,16,64.18
S007,Residential,11,11,3558,36.72,58.67,41.33,0,0.0,0,17,61.29
S007,Residential,12,11,3558,23.9,55.85,44.15,0,0.0,0,18,58.67
S007,Residential,13,11,3558,26.18,52.74,47.26,0,0.0,0,19,55.85
S007,Residential,14,11,3558,23.85,50.09,49.91,0,0.0,0,20,52.74
S007,Residential,15,11,3558,17.61,46.77,53.23,0,0.0,0,21,50.09
S007,Residential,16,11,3558,41.0,43.53,56.47,0,0.0,0,22,46.77
S007,Residential,17,11,3558,60.22,63.59,36.41,1,0.57,0,0,43.53
S007,Residential,18,11,3558,160.87,59.09,40.91,0,0.0,0,1,63.59
S007,Residential,19,11,3558,167.6,54.68,45.32,0,0.0,0,2,59.09
S007,Residential,20,11,3558,139.6,50.55,49.45,0,0.0,0,3,54.68
S007,Residential,21,11,3558,111.18,46.51,53.49,0,0.0,0,4,50.55
S007,Residential,22,11,3558,60.34,43.07,56.93,0,0.0,0,5,46.51
S007,Residential,23,11,3558,40.45,68.49,31.51,1,0.73,0,0,43.07
S007,Residential,24,11,3558,22.45,66.1,33.9,0,0.0,0,1,68.49
S007,Residential,25,11,3558,23.65,63.68,36.32,0,0.0,0,2,66.1
S007,Residential,26,11,3558,15.11,61.11,38.89,0,0.0,0,3,63.68
S007,Residential,27,11,3558,28.78,58.56,41.44,0,0.0,0,4,61.11
S007,Residential,28,11,3558,30.16,55.94,44.06,0,0.0,0,5,58.56
S007,Residential,29,11,3558,58.41,52.81,47.19,0,0.0,0,6,55.94
S007,Residential,30,11,3558,153.78,48.13,51.87,0,0.0,0,7,52.81
S007,Residential,31,11,3558,131.97,44.22,55.78,0,0.0,0,8,48.13
S007,Residential,32,11,3558,195.91,39.72,60.28,0,0.0,0,9,44.22
S007,Residential,33,11,3558,114.62,63.72,36.28,1,0.69,0,0,39.72
S007,Residential,34,11,3558,54.03,60.52,39.48,0,0.0,0,1,63.72
S007,Residential,35,11,3558,35.57,57.93,42.07,0,0.0,0,2,60.52
S007,Residential,36,11,3558,28.63,54.63,45.37,0,0.0,0,3,57.93
S008,Residential,1,15,1189,21.05,95.8,4.2,0,0.0,0,4,97.73
S008,Residential,2,15,1189,22.36,93.61,6.39,0,0.0,0,5,95.8
S008,Residential,3,15,1189,34.41,91.36,8.64,0,0.0,0,6,93.61
S008,Residential,4,15,1189,42.06,88.7,11.3,0,0.0,0,7,91.36
S008,Residential,5,15,1189,68.14,85.89,14.11,0,0.0,0,8,88.7
S008,Residential,6,15,1189,110.8,82.99,17.01,0,0.0,0,9,85.89
S008,Residential,7,15,1189,153.28,79.68,20.32,0,0.0,0,10,82.99
S008,Residential,8,15,1189,156.98,75.82,24.18,0,0.0,0,11,79.68
S008,Residential,9,15,1189,151.89,72.41,27.59,0,0.0,0,12,75.82
S008,Residential,10,15,1189,70.11,69.31,30.69,0,0.0,0,13,72.41
S008,Residential,11,15,1189,40.62,66.16,33.84,0,0.0,1,14,69.31
S008,Residential,12,15,1189,22.09,63.43,36.57,0,0.0,1,15,66.16
S008,Residential,13,15,1189,29.26,60.71,39.29,0,0.0,1,16,63.43
S008,Residential,14,15,1189,8.4,57.95,42.05,0,0.0,1,17,60.71
S008,Residential,15,15,1189,23.85,55.13,44.87,0,0.0,1,18,57.95
S008,Residential,16,15,1189,38.3,52.03,47.97,0,0.0,1,19,55.13
S008,Residential,17,15,1189,65.48,48.29,51.71,0,0.0,1,20,52.03
S008,Residential,18,15,1189,105.27,44.51,55.49,0,0.0,1,21,48.29
S008,Residential,19,15,1189,139.43,39.86,60.14,0,0.0,1,22,44.51
S008,Residential,20,15,1189,153.74,58.77,41.23,1,0.54,1,0,39.86
S008,Residential,21,15,1189,109.89,55.45,44.55,0,0.0,1,1,58.77
S008,Residential,22,15,1189,52.14,52.59,47.41,0,0.0,1,2,55.45
S008,Residential,23,15,1189,40.67,49.31,50.69,0,0.0,1,3,52.59
S008,Residential,24,15,1189,15.78,46.7,53.3,0,0.0,2,4,49.31
S008,Residential,25,15,1189,23.66,43.77,56.23,0,0.0,2,5,46.7
S008,Residential,26,15,1189,14.47,72.67,27.33,1,0.83,2,0,43.77
S008,Residential,27,15,1189,37.87,70.14,29.86,0,0.0,2,1,72.67
S008,Residential,28,15,1189,35.31,67.72,32.28,0,0.0,2,2,70.14
S008,Residential,29,15,1189,55.11,64.58,35.42,0,0.0,2,3,67.72
S008,Residential,30,15,1189,119.57,60.8,39.2,0,0.0,2,4,64.58
S008,Residential,31,15,1189,185.35,56.08,43.92,0,0.0,2,5,60.8
S008,Residential,32,15,1189,156.54,51.67,48.33,0,0.0,2,6,56.08
S008,Residential,33,15,1189,152.4,47.16,52.84,0,0.0,2,7,51.67
S008,Residential,34,15,1189,54.21,43.96,56.04,0,0.0,2,8,47.16
S008,Residential,35,15,1189,42.29,40.89,59.11,0,0.0,2,9,43.96
S008,Residential,36,15,1189,11.7,37.57,62.43,0,0.0,2,10,40.89
S009,Main Road,1,12,12734,19.11,84.76,15.24,0,0.0,0,2,88.25
S009,Main Road,2,12,12734,21.02,80.91,19.09,0,0.0,0,3,84.76
S009,Main Road,3,12,12734,26.45,76.7,23.3,0,0.0,0,4,80.91
S009,Main Road,4,12,12734,33.66,72.57,27.43,0,0.0,0,5,76.7
S009,Main Road,5,12,12734,53.76,68.43,31.57,0,0.0,0,6,72.57
S009,Main Road,6,12,12734,129.5,63.09,36.91,0,0.0,0,7,68.43
S009,Main Road,7,12,12734,202.5,56.86,43.14,0,0.0,0,8,63.09
S009,Main Road,8,12,12734,128.16,51.66,48.34,0,0.0,0,9,56.86
S009,Main Road,9,12,12734,125.44,46.26,53.74,0,0.0,0,10,51.66
S009,Main Road,10,12,12734,77.4,41.12,58.88,0,0.0,0,11,46.26
S009,Main Road,11,12,12734,38.79,36.28,63.72,0,0.0,1,12,41.12
S009,Main Road,12,12,12734,19.35,54.53,45.47,1,0.52,1,0,36.28
S009,Main Road,13,12,12734,22.38,49.76,50.24,0,0.0,1,1,54.53
S009,Main Road,14,12,12734,22.45,44.99,55.01,0,0.0,1,2,49.76
S009,Main Road,15,12,12734,18.89,40.54,59.46,0,0.0,1,3,44.99
S009,Main Road,16,12,12734,38.74,35.55,64.45,0,0.0,1,4,40.54
S009,Main Road,17,12,12734,53.02,54.34,45.66,1,0.54,1,0,35.55
S009,Main Road,18,12,12734,113.25,48.94,51.06,0,0.0,1,1,54.34
S009,Main Road,19,12,12734,199.2,42.61,57.39,0,0.0,1,2,48.94
S009,Main Road,20,12,12734,170.66,36.72,63.28,0,0.0,1,3,42.61
S009,Main Road,21,12,12734,92.16,67.25,32.75,1,0.87,1,0,36.72
S009,Main Road,22,12,12734,71.01,62.24,37.76,0,0.0,1,1,67.25
S009,Main Road,23,12,12734,36.71,57.45,42.55,0,0.0,1,2,62.24
S009,Main Road,24,12,12734,18.74,53.5,46.5,0,0.0,1,3,57.45
S009,Main Road,25,12,12734,22.39,48.88,51.12,0,0.0,1,4,53.5
S009,Main Road,26,12,12734,25.25,44.3,55.7,0,0.0,1,5,48.88
S009,Main Road,27,12,12734,17.22,39.58,60.42,0,0.0,1,6,44.3
S009,Main Road,28,12,12734,38.18,34.57,65.43,0,0.0,1,7,39.58
S009,Main Road,29,12,12734,37.82,29.32,70.68,0,0.0,1,8,34.57
S009,Main Road,30,12,12734,150.54,52.37,47.63,1,0.66,1,0,29.32
S009,Main Road,31,12,12734,165.29,46.18,53.82,0,0.0,1,1,52.37
S009,Main Road,32,12,12734,169.58,40.42,59.58,0,0.0,1,2,46.18
S009,Main Road,33,12,12734,111.88,66.06,33.94,1,0.73,1,0,40.42
S009,Main Road,34,12,12734,66.47,61.16,38.84,0,0.0,2,1,66.06
S009,Main Road,35,12,12734,46.32,56.34,43.66,0,0.0,2,2,61.16
S009,Main Road,36,12,12734,28.36,52.13,47.87,0,0.0,2,3,56.34
S010,Main Road,1,5,8890,21.89,95.88,4.12,0,0.0,0,4,98.15
S010,Main Road,2,5,8890,17.91,93.32,6.68,0,0.0,0,5,95.88
S010,Main Road,3,5,8890,18.56,90.88,9.12,0,0.0,0,6,93.32
S010,Main Road,4,5,8890,35.53,88.31,11.69,0,0.0,0,7,90.88
S010,Main Road,5,5,8890,41.56,85.36,14.64,0,0.0,0,8,88.31
S010,Main Road,6,5,8890,129.93,81.84,18.16,0,0.0,0,9,85.36
S010,Main Road,7,5,8890,234.15,77.14,22.86,0,0.0,0,10,81.84
S010,Main Road,8,5,8890,177.22,72.83,27.17,0,0.0,0,11,77.14
S010,Main Road,9,5,8890,114.22,69.21,30.79,0,0.0,0,12,72.83
S010,Main Road,10,5,8890,74.58,65.79,34.21,0,0.0,0,13,69.21
S010,Main Road,11,5,8890,25.34,62.66,37.34,0,0.0,0,14,65.79
S010,Main Road,12,5,8890,18.6,59.4,40.6,0,0.0,0,15,62.66
S010,Main Road,13,5,8890,27.59,55.96,44.04,0,0.0,0,16,59.4
S010,Main Road,14,5,8890,16.37,52.53,47.47,0,0.0,0,17,55.96
S010,Main Road,15,5,8890,21.94,49.03,50.97,0,0.0,0,18,52.53
S010,Main Road,16,5,8890,27.62,45.46,54.54,0,0.0,0,19,49.03
S010,Main Road,17,5,8890,46.95,41.97,58.03,0,0.0,0,20,45.46
